id	document	label
189	화이자 부스터샷 접종 후 사망신고 1건...국내 첫 사례	1
623	한국어 기원은 9000년前 중국 동북부 요하의 농경민	0
61	중국, 역사결의에 홍콩·대만 첫 언급…대만 "정치적 주장"	0
400	선관위, ‘민주당 대선공약 개발’ 여가부 차관 등 대검에 고발	0
341	미 차관보 "규범 기반 국제질서 중요…한국 주요 파트너"	0
149	퇴근했는데 업무 전화·이메일...포르투갈선 처벌된다	0
242	경선 끝난 野지지율 주춤…이준석 "과대표집 조정기, 후보 경쟁력과 무관"	0
91	'대장동 의혹' 김만배·남욱 구속 연장...김만배 오늘 오후 조사	0
270	정의용 "종전선언, 한미간 상당히 조율 끝나... 쉽진 않을 것 같다"	0
145	연합뉴스 충격의 강등, 포털 편집 뉴스 화면에서 사라진다	0
283	모더나 “심근염 위험 화이자의 5배…돌파감염은 적다”	1
73	文대통령, 열흘 만에 다시 北에 “산림협력 참여하기를 기대”	0
394	매일 이름 바뀌는 국민지원금…재난→방역→회복지원금	0
280	모더나 백신, 심근염 발생 화이자의 5배..."돌파감염은 적다"	1
613	[30초뉴스] 중국 내몽골 70년만에 최대 폭설…"얼음도시로 변해"	1
87	"지금 특검 해도 대선 전에 못 끝내"… '이재명 조건부 특검' 민주당 꼼수였다	0
687	"이러다 다 죽는다"…3중고 덮친 車업계 '눈물의 호소'	1
625	호주에 핵잠 기술 지원은…美 “좋은 동맹에 좋은 대접한 것”	0
121	내년 1월 '전 국민 재난지원금' 지급 가능할까?	0
531	[단독] `검단 왕릉뷰` 논란…"문화재청 따르면 1층 아파트 지을판"	0
407	뉴시스	0
210	靑 "윤석열 등 野 대선후보에 다음주 문 대통령 축하난 전달"	0
736	KDI “내년 재정 경기부양보다 선별지원을”… 국책硏, 전국민 방역지원금에 사실상 반대	0
438	홧김에 여학생 등에 '소변테러'…무죄였다가 뒤집혔다	0
735	KDI, 내년 한국 성장률 3%로 전망…“제조업, 내년 성장에 크게 기여 못 할것”	0
401	선관위, '與 공약 개발 의혹' 여가부 공무원 2명 검찰 고발	0
590	日, 스포츠 경기장·콘서트장 등 인원 제한 연내 완전히 푼다	0
327	이재명. 버스까지 동원하며 "2030" 외치더니… 2030 기자들과 이틀째 '불통'	0
595	미중 15일 첫 정상회담…시진핑 '냉전 회귀 안돼'	0
216	'남의 놀이터 오면 도둑' 입주자대표, 주민들이 해임 추진	0
557	문 대통령, 오늘 APEC 화상 정상회의…글로벌 공급망 논의	0
368	[심층분석] 국민의힘·민주당 격차 15.5%p…12주 만에 최대치	0
700	서울 집값 재건축 지역이 견인…이번 주 0.09% 올라	1
115	윤석열 "종전선언 반대한다"…사드 추가 배치엔 "얼마든지 업그레이드"	0
727	'라임사태' 증권3사 제재‥CEO 징계 빠진 이유는?	0
674	유류세 20% 인하 첫날...가격 내린 주유소는 '북새통'	0
493	중도-진보 표심 잡기 나선 윤석열 “DJ-盧 통합정신 배우겠다”	0
529	'왕릉뷰 아파트' 시뮬레이션 초안 분석해보니…일부 철거 불가피?	0
720	모더나 임원 “30세 미만男 심근염 확률, 모더나가 화이자의 5배”	1
140	시진핑 신의 한수? "바이든을 베이징 올림픽에 초청"	0
248	서울 집값 재건축 지역이 견인…이번 주 0.09% 올라	1
308	靑 신임 경제수석에 박원주 前특허청장	0
441	‘매타버스’ 올라탄 이재명 “꼼수 위성정당 사과…당 완전히 바뀔 것”	0
460	“윤석열 되면 나라 망해” 강성범에, 진중권 “이미 박살났다”	0
172	유럽 승인 앞 둔 '렉키로나' 30개 국가와 판매 협상 진행 중	0
138	오스트리아·슬로바키아, 코로나19 신규 확진 7천명-1만1천명 역대 최대치	1
552	박영수, 대장동 초기부터 관여했나… '설계자들' 논의 장소로 로펌 사무실 제공했다	0
322	'총장 장모 대응 문건'‥영장엔 "상급자가 지시"	0
238	인니, KF-21 분담금 30% 돈 대신 현물로 낸다…총액은 유지 합의	0
372	정부, 美 외교관 차량사고 이탈에 “미국 측, 적법절차에 따라 수사 협조”	0
79	靑 '요소수 팀장' 안일환 경제수석 전격 경질… 새 수석에 박원주 전 특허청장	0
253	[30초뉴스] 중국 내몽골 70년만에 최대 폭설…"얼음도시로 변해"	1
162	이재명 "선대위에 '위성정당 방지법' 추진 지시‥우리 잘못도"	0
169	EU, 한국 셀트리온의 코로나 항체치료제 '렉키로나' 사용 승인	0
603	[이 시각 세계] 코로나19 자체 면역 보유‥"새 백신 표적 발견"	0
548	법원 “자체 자가격리 기간 중 日여행 발레리노, 해고는 부당"	0
402	'선거 개입' 관권선거 공방…"문다혜, 아빠 찬스 아냐"	0
629	15일 정상회담 앞둔 美-中, 기후협력 깜짝 합의	0
261	더불어민주당 이재명 대선 후보, 싱하이밍 주한 중국대사 접견	0
587	하루 5만명 감염에 메르켈 독 총리 “백신 접종은 사회적 의무”	1
494	DJ계 '영끌' 하는 윤석열…'친문' 뺀 '빅텐트' 구상 일환	0
228	양향자 국회의원 특별보좌관, ‘직원 성추행 혐의’ 징역 1년 선고	0
424	문 대통령, APEC 회의서 "백신 인증 국제 기준 마련해 교류 활성화" 제안	0
80	靑 신임 경제수석에 박원주 前특허청장	0
581	[빅뉴스] 내일부터 유류세 20% 인하, 휘발유 가격 리터당 164원↓…	0
987	중국 공산당 “시진핑 사상으로 부흥” 40년 만에 역사결의 채택 / KBS 2021.11.11.	0
442	이재명 "꼼수 깊이 반성... '위성정당' 방지법 지시"	0
468	[코로나 백신 피해] 무력감에 유족들은 울고, 질병청 국장은 휘청였다	1
113	10대 여성 등 뒤에 방뇨행위는 '강제추행' …대법원, 무죄 하급심 파기환송	0
259	'북 피격 공무원' 유족 정보공개 청구 일부 승소 [김주하 AI 뉴스]	0
300	야구장은 1만명에 치맥, 집회는 99명 제한?	0
459	강성범 “윤석열 대통령 되면 나라가 박살난다”	0
247	전국에서 아파트값 가장 적게 오른 곳 어디?… 16주 연속 ‘마이너스’	1 
224	미 판사, '대통령 특권' 주장 트럼프에게 “대통령은 왕이 아냐”	0
403	[노컷브이]장관이 반박하자…김정재 "어디 끼어들어, 제정신이야"	0
710	진에어, 전산장애로 전국서 지연 운항…공항 북새통	1
681	한국상륙 잔칫날에…울고싶은 디즈니	0
294	“이재명, 아내 손 꼭 잡고 있었다”…李 측, 구급차 CCTV 공개	0
593	시진핑 신의 한수? "바이든을 베이징 올림픽에 초청"	0
521	국내 사망 원인 3위 질병은? 오늘은 '세계 ○○의 날' [리빙톡]	0
143	“바이든-시진핑 15일 화상 정상회담” : 국제일반 : 국제 : 뉴스	0
86	송영길 "이재명, 음주운전 발언 조심했어야…홍남기 가장 곤혹"	0
622	“한국어 기원은 9000년전 요하 일대 농민”	0
196	의료연대 내일 총파업 예고…정부 "진료 차질은 없을 것"	1
282	"내년엔 AZ 안 맞는다"…모더나 심근염 위험 주시	1
190	화이자 부스터샷 접종 후 사망신고 1건…첫 사례	1
250	올 들어 해운대 아파트값 20% 올랐다	1
654	600번째 우주비행사 탄생…우주시대 60년만에 : 미래 : 미래&과학 : 뉴스	0
111	모르는 여성 등에 소변 봤는데 1·2심 '무죄'...대법원서 반전	0
54	베트남산 요소 수입 '생색내기'…화학업계 “품질 낮아 사용 안해”	1
605	코로나 음성인데 강력한 면역반응…범용 코로나 백신 개발 실마리될까	0
406	尹 "종전선언 반대, 北비핵화 국제공조 주도할 것…日과 국익협력"	0
580	벨라루스 "제재 더 하면 유럽行 가스 밸브 잠근다"	1
